categoryid,parentid,root_categoryid,depth,view_session_count,cart_session_count,converted_session_count,viewing_visitor_count,distinct_transaction_count,session_conversion_rate,conversion_wilson_low_95,conversion_wilson_high_95,sibling_conversion_median,sibling_conversion_gap,category_opportunity_score,meets_sample_threshold,is_opportunity_candidate,eligible_sibling_count,data_origin
784,38,1394,3,2,0,0,2,0,0.0,0.0,0.6576197724933469,,,0.0,false,false,0,real
444,73,653,3,318,31,11,286,15,0.03459119496855346,0.019423009220452675,0.06086950161821788,0.032388663967611336,-0.002202531000942122,0.0,true,false,3,real
299,73,653,3,982,23,11,892,11,0.01120162932790224,0.006266162699800871,0.019946428168112908,0.032388663967611336,0.0211870346397091,20.805668016194335,true,true,3,real
527,73,653,3,247,13,8,216,8,0.032388663967611336,0.016501455322103526,0.06259814373929865,0.032388663967611336,0.0,0.0,true,false,3,real
478,105,1224,2,609,36,12,502,13,0.019704433497536946,0.011307038226668075,0.03412307819246279,0.030370243985667976,0.01066581048813103,6.495478587271797,true,false,3,real
1421,105,1224,2,4045,343,148,2924,173,0.03658838071693449,0.031228272747105212,0.042827839815037176,0.030370243985667976,-0.006218136731266512,0.0,true,false,3,real
744,105,1224,2,62,4,2,56,2,0.03225806451612903,0.008891371499816631,0.11020469594985441,0.030370243985667976,-0.0018878205304610554,0.0,false,false,3,real
618,105,1224,2,5861,439,178,3995,198,0.030370243985667976,0.026275245661422128,0.03508045531485818,0.030370243985667976,0.0,0.0,true,false,3,real
1222,105,1224,2,198,16,12,151,13,0.06060606060606061,0.03500564898628548,0.10293161614925385,0.030370243985667976,-0.030235816620392632,0.0,false,false,3,real
249,164,140,2,704,10,4,620,4,0.005681818181818182,0.00221170085977219,0.014517269551798074,0.004421520260561356,-0.0012602979212568257,0.0,true,false,2,real
396,164,140,2,949,13,3,677,7,0.003161222339304531,0.0010756706949764459,0.009252866890777462,0.004421520260561356,0.0012602979212568252,1.196022727272727,true,false,2,real
1290,164,140,2,2,1,0,2,0,0.0,0.0,0.6576197724933469,0.004421520260561356,0.004421520260561356,0.008843040521122713,false,false,2,real
1467,164,140,2,10,2,1,5,1,0.1,0.01787621309507289,0.4041500267952385,0.004421520260561356,-0.09557847973943864,0.0,false,false,2,real
1445,293,1532,2,2108,12,3,1871,4,0.0014231499051233396,0.00048411481136757215,0.004176016648590527,0.006574316887965184,0.005151166982841845,10.858659999830609,true,false,4,real
209,293,1532,2,9463,200,81,8417,100,0.008559653386875199,0.0068926897518479455,0.010625450753840146,0.006574316887965184,-0.0019853364989100147,0.0,true,false,4,real
828,293,1532,2,6638,153,55,5618,66,0.008285628201265442,0.006371533331392923,0.010768511267158434,0.006574316887965184,-0.0017113113133002573,0.0,true,false,4,real
1134,293,1532,2,8,0,0,8,0,0.0,0.0,0.32440756488388023,0.006574316887965184,0.006574316887965184,0.052594535103721474,false,false,4,real
1560,293,1532,2,174,0,0,169,0,0.0,0.0,0.021600468451887907,0.006574316887965184,0.006574316887965184,1.143931138505942,false,false,4,real
65,293,1532,2,8431,146,41,7276,54,0.004863005574664927,0.0035868967819025475,0.006590112381787878,0.006574316887965184,0.0017113113133002573,14.42806568243447,true,false,4,real
1074,339,1600,3,209,32,4,184,11,0.019138755980861243,0.007467237593175738,0.04816787638464109,0.022979339676254377,0.0038405836953931335,0.8026819923371649,true,false,2,real
1685,339,1600,3,261,28,7,231,14,0.02681992337164751,0.01305106036485321,0.05431550263529,0.022979339676254377,-0.0038405836953931335,0.0,true,false,2,real
1471,339,1600,3,148,14,5,103,5,0.033783783783783786,0.014515094986352802,0.07664221427685157,0.022979339676254377,-0.010804444107529409,0.0,false,false,2,real
221,362,431,2,48,0,0,47,0,0.0,0.0,0.0741001296661175,0.0,0.0,0.0,false,false,6,real
271,362,431,2,3,0,0,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,0.0,false,false,6,real
350,362,431,2,54,0,0,49,0,0.0,0.0,0.0664135880908964,0.0,0.0,0.0,false,false,6,real
741,362,431,2,1699,0,0,1521,0,0.0,0.0,0.002255911024949166,0.0,0.0,0.0,true,false,6,real
508,362,431,2,428,0,0,394,0,0.0,0.0,0.008895530390214679,0.0,0.0,0.0,true,false,6,real
1069,362,431,2,843,0,0,724,0,0.0,0.0,0.004536219596574447,0.0,0.0,0.0,true,false,6,real
518,362,431,2,171,0,0,154,0,0.0,0.0,0.02197109796843821,0.0,0.0,0.0,false,false,6,real
1304,362,431,2,93,0,0,84,0,0.0,0.0,0.03966750261173514,0.0,0.0,0.0,false,false,6,real
