activity_date,daily_active_visitors,rolling_7d_active_visitors,rolling_30d_active_visitors,first_observed_visitors,returning_visitors,viewing_visitors,carting_visitors,purchasing_visitors,dau_mau_stickiness,purchasing_visitor_rate,data_origin
2015-05-03,7865,7865,7865,7865,0,7845,209,52,1.0,0.006611570247933884,real
2015-05-04,11019,18479,18479,10614,405,10995,303,101,0.5962985010011365,0.009165986024140121,real
2015-05-05,13084,30968,30968,12489,595,13048,376,155,0.42250064582795144,0.011846530113115256,real
2015-05-06,13687,43744,43744,12776,911,13659,388,151,0.3128886247256767,0.011032366479140791,real
2015-05-07,13085,55684,55684,11940,1145,13049,339,115,0.23498671072480426,0.008788689338937715,real
2015-05-08,11106,65701,65701,10017,1089,11074,310,87,0.16903852300573813,0.007833603457590491,real
2015-05-09,7610,72589,72589,6888,722,7601,164,41,0.10483682100593754,0.005387647831800263,real
2015-05-10,7413,72137,79253,6664,749,7389,171,43,0.09353589138581504,0.0058006205314987186,real
2015-05-11,9512,70770,87871,8618,894,9494,217,57,0.10824959315360017,0.005992430613961312,real
2015-05-12,13040,70790,99611,11740,1300,13007,353,122,0.13090923693166417,0.009355828220858895,real
2015-05-13,13466,70637,111669,12058,1408,13439,338,127,0.12058852501589519,0.009431159958413782,real
2015-05-14,13662,71135,123812,12143,1519,13629,406,132,0.11034471618259943,0.00966183574879227,real
2015-05-15,12745,72578,135011,11199,1546,12704,342,112,0.09439971557873063,0.008787759905845429,real
2015-05-16,11414,76125,145194,10183,1231,11383,279,99,0.07861206385938813,0.008673558787454004,real
2015-05-17,11996,80409,155916,10722,1274,11963,327,102,0.07693886451679109,0.008502834278092697,real
2015-05-18,15475,85823,169612,13696,1779,15438,390,146,0.09123764827960286,0.009434571890145396,real
2015-05-19,15482,88051,183166,13554,1928,15436,396,117,0.08452442047104812,0.00755716315721483,real
2015-05-20,13332,87889,194740,11574,1758,13310,262,86,0.06846051145116566,0.006450645064506451,real
2015-05-21,12738,87110,205859,11119,1619,12712,249,78,0.06187730436852409,0.006123410268487989,real
2015-05-22,12339,86811,216652,10793,1546,12310,279,91,0.056953086055056036,0.00737498986951941,real
2015-05-23,9741,85314,225149,8497,1244,9716,228,68,0.04326468249914501,0.006980802792321117,real
2015-05-24,10452,83926,234340,9191,1261,10436,219,66,0.04460186054450798,0.006314580941446613,real
2015-05-25,14161,82804,246712,12372,1789,14136,354,113,0.05739891047050812,0.00797966245321658,real
