activity_date,session_count,active_visitors,average_events_per_session,median_events_per_session,p75_events_per_session,average_items_per_session,median_items_per_session,p75_items_per_session,average_session_duration_seconds,median_session_duration_seconds,p75_session_duration_seconds,data_origin
2015-05-03,8324,7865,1.6623017779913503,1.0,1.0,1.404252763094666,1.0,1.0,112.93524747717443,0.0,0.0,real
2015-05-04,11778,11008,1.641874681609781,1.0,1.0,1.3686534216335542,1.0,1.0,109.2839191713364,0.0,0.0,real
2015-05-05,14093,13076,1.6362023699709076,1.0,1.0,1.3740864258851913,1.0,1.0,118.99893564180799,0.0,0.0,real
2015-05-06,14772,13670,1.6219875440021663,1.0,1.0,1.3535066341727593,1.0,1.0,116.36156241538045,0.0,0.0,real
2015-05-07,14111,13070,1.638438097937779,1.0,1.0,1.3776486429027,1.0,1.0,119.32556161859542,0.0,0.0,real
2015-05-08,11938,11085,1.620204389344949,1.0,1.0,1.3780365220304909,1.0,1.0,117.20430557882392,0.0,0.0,real
2015-05-09,8112,7599,1.5627465483234715,1.0,1.0,1.3329635108481261,1.0,1.0,89.7900641025641,0.0,0.0,real
2015-05-10,7886,7402,1.5426071519147857,1.0,1.0,1.3257671823484656,1.0,1.0,95.06505199086989,0.0,0.0,real
2015-05-11,10115,9501,1.5981216015818092,1.0,1.0,1.3631240731586753,1.0,1.0,103.83391003460207,0.0,0.0,real
2015-05-12,14030,13030,1.599144689950107,1.0,1.0,1.3556664290805418,1.0,1.0,106.35466856735566,0.0,0.0,real
2015-05-13,14470,13452,1.639875604699378,1.0,1.0,1.3760193503800968,1.0,1.0,112.61845196959226,0.0,0.0,real
2015-05-14,14685,13646,1.6423561457269322,1.0,1.0,1.3717398706162751,1.0,1.0,113.76847122914539,0.0,0.0,real
2015-05-15,13729,12732,1.617961978294122,1.0,1.0,1.3621531065627503,1.0,1.0,114.88899410008013,0.0,0.0,real
2015-05-16,12214,11394,1.5767971180612412,1.0,1.0,1.335107253970853,1.0,1.0,97.25691829048633,0.0,0.0,real
2015-05-17,12832,11982,1.6327930174563592,1.0,1.0,1.3734413965087282,1.0,1.0,111.75740336658355,0.0,0.0,real
2015-05-18,16600,15462,1.632710843373494,1.0,1.0,1.3626506024096385,1.0,1.0,115.31132530120482,0.0,0.0,real
2015-05-19,16589,15463,1.6137199348966182,1.0,1.0,1.3703659051178492,1.0,1.0,108.00976550726385,0.0,0.0,real
2015-05-20,14231,13312,1.560677394420631,1.0,1.0,1.3443187407771766,1.0,1.0,99.46581406787998,0.0,0.0,real
2015-05-21,13618,12726,1.5955353208988103,1.0,1.0,1.3653987369657805,1.0,1.0,98.76002349831106,0.0,0.0,real
2015-05-22,13202,12323,1.5874109983335858,1.0,1.0,1.3509316770186335,1.0,1.0,104.98257839721255,0.0,0.0,real
2015-05-23,10406,9729,1.5856236786469344,1.0,1.0,1.3501825869690562,1.0,1.0,103.81914280222948,0.0,0.0,real
2015-05-24,11208,10435,1.5287294789436117,1.0,1.0,1.318254817987152,1.0,1.0,92.50428265524626,0.0,0.0,real
2015-05-25,15191,14150,1.5748140346257653,1.0,1.0,1.3360542426436706,1.0,1.0,103.01402146007504,0.0,0.0,real
2015-05-26,13697,12769,1.6034168065999854,1.0,1.0,1.3552602759728407,1.0,1.0,112.03935168285025,0.0,0.0,real
2015-05-27,13744,12815,1.5966239813736904,1.0,1.0,1.3479336437718277,1.0,1.0,114.5197904540163,0.0,0.0,real
2015-05-28,13896,12939,1.58786701208981,1.0,1.0,1.348013816925734,1.0,1.0,108.04368163500288,0.0,0.0,real
2015-05-29,12741,11941,1.534494937603014,1.0,1.0,1.3093948669649165,1.0,1.0,94.26426497135233,0.0,0.0,real
2015-05-30,10300,9671,1.5563106796116506,1.0,1.0,1.3112621359223302,1.0,1.0,94.95019417475729,0.0,0.0,real
2015-05-31,10628,9919,1.5414941663530297,1.0,1.0,1.3118178396687994,1.0,1.0,96.95972901768913,0.0,0.0,real
2015-06-01,14165,13238,1.6051535474761736,1.0,1.0,1.3556653723967527,1.0,1.0,107.1851747264384,0.0,0.0,real
