itemid,categoryid,view_session_count,cart_session_count,transaction_session_count,ordered_cart_session_count,ordered_purchase_session_count,ordered_view_to_cart_rate,ordered_cart_to_purchase_rate,data_origin
187946,1393.0,3099,2,0,0,0,0.0,,real
5411,789.0,2153,9,0,8,0,0.0037157454714352,0.0,real
461686,1037.0,1915,285,132,252,85,0.1315926892950391,0.3373015873015873,real
370653,82.0,1743,0,0,0,0,0.0,,real
219512,5.0,1463,47,12,28,7,0.0191387559808612,0.25,real
298009,529.0,1449,0,0,0,0,0.0,,real
96924,56.0,1434,0,0,0,0,0.0,,real
335975,48.0,1268,0,0,0,0,0.0,,real
384302,5.0,1261,58,15,38,14,0.0301348136399682,0.3684210526315789,real
309778,683.0,1220,47,15,41,10,0.0336065573770491,0.2439024390243902,real
257040,683.0,1202,83,26,67,17,0.0557404326123128,0.2537313432835821,real
441668,1263.0,1188,32,11,27,7,0.0227272727272727,0.2592592592592592,real
111530,1625.0,1185,39,10,34,7,0.0286919831223628,0.2058823529411764,real
151444,656.0,1150,0,0,0,0,0.0,,real
7943,398.0,1091,92,46,82,35,0.075160403299725,0.4268292682926829,real
234255,1051.0,1053,69,16,38,10,0.0360873694207027,0.2631578947368421,real
320130,707.0,1052,139,33,85,26,0.0807984790874524,0.3058823529411765,real
112782,1263.0,978,24,8,22,6,0.0224948875255623,0.2727272727272727,real
142466,1375.0,977,1,0,1,0,0.0010235414534288,0.0,real
190000,5.0,970,41,19,31,14,0.0319587628865979,0.4516129032258064,real
434782,239.0,964,0,0,0,0,0.0,,real
91755,48.0,934,0,0,0,0,0.0,,real
37029,1483.0,930,68,25,47,19,0.0505376344086021,0.4042553191489361,real
102306,499.0,918,0,0,0,0,0.0,,real
65273,342.0,907,48,13,23,7,0.0253583241455347,0.3043478260869565,real
354233,1613.0,883,21,1,14,1,0.015855039637599,0.0714285714285714,real
161623,5.0,870,27,6,17,4,0.0195402298850574,0.2352941176470588,real
400946,1273.0,840,31,6,25,5,0.0297619047619047,0.2,real
350629,48.0,822,15,3,11,1,0.0133819951338199,0.0909090909090909,real
369447,48.0,811,73,31,55,23,0.0678175092478421,0.4181818181818181,real
133814,1613.0,809,24,4,18,3,0.0222496909765142,0.1666666666666666,real
341482,94.0,798,5,1,5,1,0.006265664160401,0.2,real
84160,1244.0,791,6,5,6,5,0.0075853350189633,0.8333333333333334,real
29100,,785,0,0,0,0,0.0,,real
290999,1192.0,780,31,12,19,6,0.0243589743589743,0.3157894736842105,real
133907,48.0,778,29,9,18,7,0.0231362467866323,0.3888888888888889,real
312728,1098.0,771,148,45,132,24,0.1712062256809338,0.1818181818181818,real
48030,1219.0,765,89,40,76,32,0.0993464052287581,0.4210526315789473,real
29196,1265.0,757,111,19,102,13,0.1347424042272126,0.1274509803921568,real
455183,1051.0,755,40,11,23,9,0.0304635761589403,0.391304347826087,real
315543,1279.0,744,45,14,42,12,0.0564516129032258,0.2857142857142857,real
445351,1483.0,734,84,44,56,34,0.0762942779291553,0.6071428571428571,real
393028,5.0,720,22,4,16,3,0.0222222222222222,0.1875,real
247909,1613.0,715,30,5,16,2,0.0223776223776223,0.125,real
225778,656.0,714,0,0,0,0,0.0,,real
12217,1375.0,705,40,13,27,12,0.0382978723404255,0.4444444444444444,real
441852,959.0,704,84,23,47,16,0.0667613636363636,0.3404255319148936,real
9877,858.0,700,62,25,54,18,0.0771428571428571,0.3333333333333333,real
315545,819.0,700,20,11,18,7,0.0257142857142857,0.3888888888888889,real
232509,64.0,700,0,0,0,0,0.0,,real
209994,35.0,690,0,0,0,0,0.0,,real
429094,973.0,667,0,0,0,0,0.0,,real
303715,1650.0,659,26,9,21,8,0.0318664643399089,0.3809523809523809,real
15948,1277.0,653,0,0,0,0,0.0,,real
158666,1613.0,648,61,8,32,5,0.0493827160493827,0.15625,real
394678,1589.0,641,10,3,10,2,0.0156006240249609,0.2,real
241555,858.0,639,37,13,30,12,0.0469483568075117,0.4,real
413166,342.0,627,0,0,0,0,0.0,,real
359491,1120.0,622,0,0,0,0,0.0,,real
179601,1192.0,618,27,11,21,10,0.0339805825242718,0.4761904761904761,real
231482,1051.0,611,36,12,24,11,0.0392798690671031,0.4583333333333333,real
122604,1483.0,607,45,13,20,7,0.0329489291598023,0.35,real
316753,342.0,599,79,14,36,6,0.0601001669449081,0.1666666666666666,real
351044,1663.0,599,3,2,2,1,0.003338898163606,0.5,real
303828,1650.0,598,16,6,14,4,0.0234113712374581,0.2857142857142857,real
290250,352.0,596,0,0,0,0,0.0,,real
266900,1650.0,592,32,12,27,9,0.0456081081081081,0.3333333333333333,real
69533,48.0,582,22,5,14,5,0.0240549828178694,0.3571428571428571,real
345279,959.0,581,25,7,12,4,0.0206540447504302,0.3333333333333333,real
109618,921.0,574,0,0,0,0,0.0,,real
119736,57.0,568,39,93,25,18,0.0440140845070422,0.72,real
299222,1293.0,565,24,10,18,8,0.031858407079646,0.4444444444444444,real
422425,819.0,565,19,7,16,5,0.0283185840707964,0.3125,real
291877,14.0,560,12,5,10,4,0.0178571428571428,0.4,real
355994,1051.0,557,28,11,19,9,0.0341113105924596,0.4736842105263157,real
58638,1650.0,556,18,9,13,6,0.0233812949640287,0.4615384615384615,real
316779,1120.0,556,0,0,0,0,0.0,,real
438484,1483.0,549,39,11,21,6,0.0382513661202185,0.2857142857142857,real
272770,818.0,548,6,3,5,1,0.0091240875912408,0.2,real
403757,499.0,538,0,0,0,0,0.0,,real
449571,,538,0,0,0,0,0.0,,real
445749,1303.0,535,0,0,0,0,0.0,,real
409804,1191.0,529,136,34,127,27,0.2400756143667296,0.2125984251968504,real
149275,1526.0,527,0,0,0,0,0.0,,real
82586,333.0,526,12,4,10,2,0.0190114068441064,0.2,real
339703,342.0,525,59,9,48,5,0.0914285714285714,0.1041666666666666,real
138427,356.0,525,31,20,28,12,0.0533333333333333,0.4285714285714285,real
242905,1051.0,524,31,4,16,3,0.0305343511450381,0.1875,real
453618,646.0,521,13,1,7,1,0.0134357005758157,0.1428571428571428,real
869,1650.0,521,20,7,12,7,0.0230326295585412,0.5833333333333334,real
253615,342.0,520,45,7,22,3,0.0423076923076923,0.1363636363636363,real
17114,229.0,519,4,0,3,0,0.0057803468208092,0.0,real
46232,1317.0,519,69,19,55,13,0.1059730250481695,0.2363636363636363,real
287664,,515,0,0,0,0,0.0,,real
215715,926.0,511,0,0,0,0,0.0,,real
91105,5.0,510,10,2,5,1,0.0098039215686274,0.2,real
89775,936.0,510,19,8,17,7,0.0333333333333333,0.4117647058823529,real
420960,1529.0,505,59,38,55,33,0.1089108910891089,0.6,real
445105,230.0,505,23,8,21,7,0.0415841584158415,0.3333333333333333,real
298196,,498,0,0,0,0,0.0,,real
4001,959.0,498,23,9,14,8,0.0281124497991967,0.5714285714285714,real
206880,5.0,498,13,0,10,0,0.0200803212851405,0.0,real
447661,1477.0,496,41,5,17,2,0.034274193548387,0.1176470588235294,real
254418,1650.0,492,14,3,9,2,0.0182926829268292,0.2222222222222222,real
66752,48.0,489,13,3,8,2,0.016359918200409,0.25,real
357054,1018.0,487,22,7,20,7,0.0410677618069815,0.35,real
389158,707.0,486,37,11,16,6,0.0329218106995884,0.375,real
399031,683.0,480,16,3,13,2,0.0270833333333333,0.1538461538461538,real
243355,921.0,480,14,5,13,3,0.0270833333333333,0.2307692307692307,real
318333,1293.0,480,37,21,32,16,0.0666666666666666,0.5,real
82389,1404.0,477,0,0,0,0,0.0,,real
231243,29.0,473,7,0,7,0,0.014799154334038,0.0,real
17478,1373.0,470,68,36,63,32,0.1340425531914893,0.5079365079365079,real
378637,1613.0,470,16,4,14,2,0.0297872340425531,0.1428571428571428,real
76060,1296.0,470,13,4,12,4,0.025531914893617,0.3333333333333333,real
82278,1659.0,469,15,7,13,4,0.0277185501066098,0.3076923076923077,real
393111,1221.0,468,15,6,13,6,0.0277777777777777,0.4615384615384615,real
260650,,468,0,0,0,0,0.0,,real
216305,299.0,468,2,1,2,0,0.0042735042735042,0.0,real
460188,1051.0,465,14,4,10,3,0.021505376344086,0.3,real
325310,858.0,463,36,11,29,10,0.0626349892008639,0.3448275862068966,real
320494,819.0,462,19,3,19,3,0.0411255411255411,0.1578947368421052,real
392074,959.0,462,7,0,6,0,0.0129870129870129,0.0,real
390591,1613.0,461,54,8,26,6,0.0563991323210412,0.2307692307692307,real
184998,,461,0,0,0,0,0.0,,real
294482,1293.0,460,0,0,0,0,0.0,,real
334273,1613.0,457,8,1,8,1,0.0175054704595186,0.125,real
374092,683.0,457,19,6,16,4,0.0350109409190372,0.25,real
235224,1279.0,456,7,2,7,1,0.0153508771929824,0.1428571428571428,real
153778,1221.0,456,23,14,22,13,0.0482456140350877,0.5909090909090909,real
367664,683.0,452,30,9,27,5,0.0597345132743362,0.1851851851851851,real
192875,1578.0,452,3,2,3,2,0.0066371681415929,0.6666666666666666,real
260539,124.0,450,0,0,0,0,0.0,,real
29890,167.0,448,0,0,0,0,0.0,,real
118914,1051.0,447,12,9,10,6,0.0223713646532438,0.6,real
62549,51.0,442,12,4,10,3,0.0226244343891402,0.3,real
216888,642.0,438,0,0,0,0,0.0,,real
260317,494.0,434,0,0,0,0,0.0,,real
115323,1325.0,434,1,0,1,0,0.0023041474654377,0.0,real
304537,646.0,431,10,0,9,0,0.0208816705336426,0.0,real
162139,862.0,431,11,6,8,4,0.0185614849187935,0.5,real
425186,1143.0,431,2,0,1,0,0.0023201856148491,0.0,real
137144,1188.0,430,0,0,0,0,0.0,,real
454818,1051.0,430,29,10,17,6,0.0395348837209302,0.3529411764705882,real
274798,5.0,429,17,3,9,1,0.0209790209790209,0.1111111111111111,real
22436,342.0,429,41,6,27,3,0.0629370629370629,0.1111111111111111,real
75779,167.0,427,0,0,0,0,0.0,,real
101845,984.0,426,0,0,0,0,0.0,,real
546,1349.0,423,43,23,37,21,0.0874704491725768,0.5675675675675675,real
184199,,423,9,0,8,0,0.0189125295508274,0.0,real
