cohort_week,week_number,cohort_size,retained_visitors,retention_rate,data_origin
2015-04-27,0,7865,7865,1.0,real
2015-04-27,1,7865,749,0.09523204068658614,real
2015-04-27,2,7865,322,0.040940877304513665,real
2015-04-27,3,7865,239,0.03038779402415766,real
2015-04-27,4,7865,166,0.021106166560712014,real
2015-04-27,5,7865,146,0.01856325492689129,real
2015-04-27,6,7865,127,0.0161474888747616,real
2015-04-27,7,7865,120,0.015257469802924348,real
2015-04-27,8,7865,96,0.012205975842339479,real
2015-04-27,9,7865,87,0.011061665607120153,real
2015-04-27,10,7865,100,0.012714558169103624,real
2015-04-27,11,7865,87,0.011061665607120153,real
2015-04-27,12,7865,82,0.010425937698664971,real
2015-05-04,0,71388,71388,1.0,real
2015-05-04,1,71388,3424,0.04796324312209335,real
2015-05-04,2,71388,1987,0.02783380960385499,real
2015-05-04,3,71388,1471,0.02060570403989466,real
2015-05-04,4,71388,1169,0.016375301171065164,real
2015-05-04,5,71388,915,0.012817280215162211,real
2015-05-04,6,71388,910,0.012747240432565697,real
2015-05-04,7,71388,808,0.011318428867596795,real
2015-05-04,8,71388,719,0.010071720737378831,real
2015-05-04,9,71388,718,0.010057712780859528,real
2015-05-04,10,71388,650,0.009105171737546927,real
2015-05-04,11,71388,644,0.00902112399843111,real
2015-05-04,12,71388,550,0.00770437608561663,real
2015-05-11,0,76663,76663,1.0,real
2015-05-11,1,76663,3276,0.04273247850984178,real
2015-05-11,2,76663,1593,0.020779254660005478,real
2015-05-11,3,76663,1266,0.01651383327028684,real
2015-05-11,4,76663,926,0.012078838553148194,real
2015-05-11,5,76663,850,0.011087486792846614,real
2015-05-11,6,76663,767,0.010004826317780416,real
2015-05-11,7,76663,636,0.008296048941471113,real
2015-05-11,8,76663,706,0.009209136089117305,real
2015-05-11,9,76663,571,0.007448182304371079,real
2015-05-11,10,76663,587,0.00765688793811878,real
2015-05-11,11,76663,433,0.005648096213297158,real
2015-05-11,12,76663,443,0.005778537234389471,real
2015-05-18,0,78424,78424,1.0,real
2015-05-18,1,78424,2731,0.03482352341120065,real
2015-05-18,2,78424,1501,0.019139549117617057,real
2015-05-18,3,78424,1000,0.01275119861266959,real
2015-05-18,4,78424,881,0.011233805977761909,real
2015-05-18,5,78424,786,0.010022442109558298,real
2015-05-18,6,78424,658,0.008390288687136592,real
2015-05-18,7,78424,658,0.008390288687136592,real
2015-05-18,8,78424,599,0.007637967968989085,real
2015-05-18,9,78424,580,0.007395695195348362,real
2015-05-18,10,78424,440,0.00561052738957462,real
2015-05-18,11,78424,423,0.005393757013159237,real
2015-05-18,12,78424,385,0.004909211465877792,real
2015-05-25,0,73228,73228,1.0,real
2015-05-25,1,73228,2477,0.03382585896105315,real
2015-05-25,2,73228,1178,0.016086742775987328,real
2015-05-25,3,73228,897,0.01224941279292074,real
2015-05-25,4,73228,762,0.010405855683618287,real
2015-05-25,5,73228,648,0.008849074124651772,real
2015-05-25,6,73228,625,0.008534986617140984,real
2015-05-25,7,73228,558,0.007620036051783471,real
2015-05-25,8,73228,559,0.007633692030370896,real
2015-05-25,9,73228,395,0.0053941115420331025,real
2015-05-25,10,73228,392,0.0053531436062708255,real
2015-05-25,11,73228,365,0.004984432184410335,real
2015-05-25,12,73228,361,0.004929808270060633,real
2015-06-01,0,72713,72713,1.0,real
2015-06-01,1,72713,2442,0.033584090877834774,real
2015-06-01,2,72713,1295,0.01780974516248814,real
2015-06-01,3,72713,920,0.012652483049798524,real
2015-06-01,4,72713,717,0.009860685159462545,real
2015-06-01,5,72713,689,0.00947560958838172,real
2015-06-01,6,72713,620,0.00852667335964683,real
2015-06-01,7,72713,562,0.007729016819550837,real
2015-06-01,8,72713,475,0.006532532009406846,real
2015-06-01,9,72713,415,0.005707370071376508,real
2015-06-01,10,72713,353,0.004854702735411825,real
2015-06-01,11,72713,368,0.005060993219919409,real
2015-06-01,12,72713,346,0.004758433842641618,real
2015-06-08,0,66584,66584,1.0,real
2015-06-08,1,66584,2284,0.03430253514357803,real
2015-06-08,2,66584,1102,0.016550522648083623,real
2015-06-08,3,66584,776,0.011654451519884658,real
2015-06-08,4,66584,721,0.010828427249789739,real
2015-06-08,5,66584,553,0.008305298570227082,real
2015-06-08,6,66584,536,0.008049981977652288,real
2015-06-08,7,66584,430,0.006458007929832993,real
2015-06-08,8,66584,375,0.005631983659738075,real
2015-06-08,9,66584,303,0.004550642797068365,real
2015-06-08,10,66584,340,0.005106331851495855,real
2015-06-08,11,66584,314,0.0047158476510873485,real
2015-06-08,12,66584,259,0.0038898233809924305,real
2015-06-15,0,69758,69758,1.0,real
2015-06-15,1,69758,2329,0.03338685168726167,real
2015-06-15,2,69758,1142,0.016370882192723417,real
2015-06-15,3,69758,940,0.013475156971243442,real
2015-06-15,4,69758,709,0.010163708821927233,real
2015-06-15,5,69758,628,0.009002551678660512,real
2015-06-15,6,69758,483,0.006923937039479343,real
2015-06-15,7,69758,458,0.006565555205137762,real
2015-06-15,8,69758,402,0.005762779896212621,real
2015-06-15,9,69758,372,0.005332721695002724,real
2015-06-15,10,69758,359,0.005146363141145102,real
2015-06-15,11,69758,303,0.004343587832219961,real
2015-06-15,12,69758,345,0.004945669313913817,real
2015-06-22,0,68400,68400,1.0,real
2015-06-22,1,68400,2304,0.03368421052631579,real
2015-06-22,2,68400,1166,0.017046783625730994,real
2015-06-22,3,68400,816,0.011929824561403509,real
2015-06-22,4,68400,701,0.010248538011695906,real
2015-06-22,5,68400,514,0.007514619883040936,real
2015-06-22,6,68400,459,0.006710526315789474,real
2015-06-22,7,68400,381,0.005570175438596491,real
2015-06-22,8,68400,378,0.005526315789473684,real
2015-06-22,9,68400,343,0.005014619883040936,real
2015-06-22,10,68400,305,0.00445906432748538,real
2015-06-22,11,68400,354,0.005175438596491228,real
2015-06-29,0,68146,68146,1.0,real
2015-06-29,1,68146,2343,0.03438206204326006,real
2015-06-29,2,68146,1136,0.01667009068764124,real
2015-06-29,3,68146,860,0.012619963020573475,real
2015-06-29,4,68146,631,0.009259531006955654,real
2015-06-29,5,68146,536,0.007865465324450444,real
2015-06-29,6,68146,448,0.006574120271182461,real
2015-06-29,7,68146,375,0.005502890851994248,real
2015-06-29,8,68146,359,0.0052681008423091594,real
2015-06-29,9,68146,318,0.004666451442491122,real
2015-06-29,10,68146,364,0.00534147272033575,real
2015-07-06,0,83941,83941,1.0,real
2015-07-06,1,83941,2320,0.02763846034714859,real
2015-07-06,2,83941,1222,0.014557844200092922,real
2015-07-06,3,83941,762,0.009077804648503116,real
2015-07-06,4,83941,620,0.007386140265186262,real
2015-07-06,5,83941,490,0.005837433435389143,real
2015-07-06,6,83941,425,0.0050630800204905825,real
2015-07-06,7,83941,437,0.005206037574010317,real
2015-07-06,8,83941,344,0.004098116534232378,real
2015-07-06,9,83941,423,0.005039253761570627,real
2015-07-13,0,80561,80561,1.0,real
2015-07-13,1,80561,2386,0.029617308623279253,real
