first_session_segment,day_n,eligible_cohort_count,eligible_visitor_count,retained_visitor_count,weighted_retention_rate,data_origin
all,1,138,1406769,38824,0.027597992278760763,real
all,3,136,1396052,12467,0.008930183116388215,real
all,7,132,1357149,7609,0.005606606201677192,real
all,14,125,1287875,4137,0.0032122682713772686,real
all,30,109,1141976,1797,0.0015735882365303649,real
browse_only,1,138,1376169,36502,0.02652435856351945,real
browse_only,3,136,1365684,11696,0.008564206653955088,real
browse_only,7,132,1327577,7204,0.005426427243014906,real
browse_only,14,125,1259800,3921,0.0031123987934592793,real
browse_only,30,109,1117265,1731,0.001549319096185775,real
cart_no_purchase,1,138,23077,1624,0.07037309875633747,real
cart_no_purchase,3,136,22898,532,0.02323347017206743,real
cart_no_purchase,7,132,22276,267,0.011985993894774645,real
cart_no_purchase,14,125,21141,145,0.006858710562414266,real
cart_no_purchase,30,109,18586,41,0.002205961476380071,real
first_session_purchase,1,138,7523,698,0.09278213478665426,real
first_session_purchase,3,136,7470,239,0.03199464524765729,real
first_session_purchase,7,132,7296,138,0.018914473684210526,real
first_session_purchase,14,125,6934,71,0.01023940005768676,real
first_session_purchase,30,109,6125,25,0.004081632653061225,real
