transaction_date,transaction_count,purchasing_visitors,transaction_event_count,average_distinct_items_per_transaction,median_distinct_items_per_transaction,p75_distinct_items_per_transaction,data_origin
2015-05-03,70,52,83,1.1857142857142857,1.0,1.0,real
2015-05-04,128,101,154,1.1953125,1.0,1.0,real
2015-05-05,196,155,225,1.1428571428571428,1.0,1.0,real
2015-05-06,215,151,258,1.1953488372093024,1.0,1.0,real
2015-05-07,167,115,217,1.2994011976047903,1.0,1.0,real
2015-05-08,99,87,126,1.2727272727272727,1.0,1.0,real
2015-05-09,48,41,63,1.3125,1.0,1.0,real
2015-05-10,49,43,60,1.2040816326530612,1.0,1.0,real
2015-05-11,68,57,84,1.2352941176470589,1.0,1.0,real
2015-05-12,149,122,186,1.2483221476510067,1.0,1.0,real
2015-05-13,169,127,208,1.2189349112426036,1.0,1.0,real
2015-05-14,169,132,256,1.5088757396449703,1.0,1.0,real
2015-05-15,142,112,185,1.2887323943661972,1.0,1.0,real
2015-05-16,110,99,130,1.1818181818181819,1.0,1.0,real
2015-05-17,133,102,169,1.255639097744361,1.0,1.0,real
2015-05-18,189,146,245,1.2962962962962963,1.0,1.0,real
2015-05-19,171,117,196,1.1461988304093567,1.0,1.0,real
2015-05-20,110,86,125,1.1363636363636365,1.0,1.0,real
2015-05-21,107,78,131,1.2242990654205608,1.0,1.0,real
2015-05-22,114,91,154,1.3508771929824561,1.0,1.0,real
2015-05-23,91,68,113,1.2417582417582418,1.0,1.0,real
2015-05-24,86,66,97,1.127906976744186,1.0,1.0,real
2015-05-25,147,113,178,1.2108843537414966,1.0,1.0,real
2015-05-26,161,120,194,1.1987577639751552,1.0,1.0,real
2015-05-27,155,115,197,1.2516129032258065,1.0,1.0,real
2015-05-28,177,122,225,1.271186440677966,1.0,1.0,real
2015-05-29,93,76,137,1.4623655913978495,1.0,1.0,real
2015-05-30,90,67,116,1.288888888888889,1.0,1.0,real
2015-05-31,84,66,99,1.1666666666666667,1.0,1.0,real
2015-06-01,154,117,200,1.2987012987012987,1.0,1.0,real
2015-06-02,162,132,206,1.271604938271605,1.0,1.0,real
2015-06-03,156,115,204,1.3076923076923077,1.0,1.0,real
2015-06-04,167,117,205,1.215568862275449,1.0,1.0,real
2015-06-05,122,86,149,1.221311475409836,1.0,1.0,real
2015-06-06,83,58,104,1.2530120481927711,1.0,1.0,real
2015-06-07,87,68,106,1.2183908045977012,1.0,1.0,real
